Response_ID,Employee_ID,Submission_Date,Department,Q1_Job_Satisfaction,Q2_Work_Life_Balance,Q3_Manager_Support,Q4_Growth_Opportunities,Q5_eNPS,Comments
001,EMP001,2024-01-15,IT,5,3,5,5,9,"Boss belanja makan besar for CNY!"
002,EMP002,2024-01-15,Sales,5,5,5,4,10,"Harap bonus tahun ni lebat."
003,EMP003,2024-01-16,Marketing,4,4,3,3,7,"CNY campaign preparation tengah busy gila."
004,EMP004,2024-01-16,HR,3,3,4,2,6,"Harap commission structure tak ubah."
005,EMP005,2024-01-17,Finance,5,4,5,5,9,"Office decoration for CNY is beautiful. Semangat nak kerja."
006,EMP006,2024-01-17,Product,5,4,5,5,9,"Increment tahun ni okay lah, boleh tahan."
007,EMP007,2024-01-18,Customer Support,5,4,5,5,10,"Best place to work!"
008,EMP008,2024-01-18,Marketing,4,4,4,3,8,"Stable year ahead hopefully."
009,EMP009,2024-01-19,HR,4,5,4,3,8,"Closing account hujung tahun hari tu smooth je."
010,EMP010,2024-01-19,Finance,2,2,3,2,4,"Too much workload for one person. Penat lah."
011,EMP011,2024-01-20,IT,5,5,5,5,10,""
012,EMP012,2024-01-20,Sales,4,3,4,3,7,"Shift schedule is getting better."
013,EMP013,2024-01-21,Marketing,4,3,3,4,7,"Training was okay, but I'm still confused about some SOPs"
014,EMP014,2024-01-21,HR,5,5,5,5,10,"Love the product vision."
015,EMP015,2024-01-22,Finance,4,5,4,3,8,""
016,EMP016,2024-01-22,Product,5,5,5,5,10,"Baru masuk, team sangat welcoming."
017,EMP017,2024-01-23,Sales,3,3,3,3,6,"Average experience so far."
018,EMP018,2024-01-23,Customer Support,4,4,5,2,8,"Strategic planning meeting was very productive"
019,EMP019,2024-01-24,HR,2,2,3,2,4,"Feeling unappreciated."
020,EMP020,2024-01-24,Finance,5,4,4,5,9,"Start of the year energy is great! Target baru nampak achievable."
021,EMP021,2024-01-25,IT,4,5,4,4,8,"Benefits are good."
022,EMP022,2024-01-25,Sales,3,3,2,3,5,"Need more clarity on Q2 roadmap."
023,EMP023,2024-01-26,Marketing,5,4,5,5,10,"Seronok kerja sini."
024,EMP024,2024-01-26,HR,3,3,3,3,6,"Targets are getting harder to hit."
025,EMP025,2024-01-27,Finance,5,4,5,5,9,""
026,EMP026,2024-01-27,Product,5,5,5,5,10,"Good vibes only."
027,EMP027,2024-01-28,Sales,3,3,4,2,6,"Support system okay, but can be improved."
028,EMP028,2024-01-28,Customer Support,4,5,4,3,8,"Work life balance is maintained."
029,EMP029,2024-01-29,HR,5,5,5,5,10,""
030,EMP030,2024-01-29,Finance,2,2,2,2,3,"Team lead asyik micromanage je."
031,EMP031,2024-01-30,IT,4,4,4,3,7,"Steady."
032,EMP032,2024-01-30,Sales,3,3,3,3,6,"Biasa-biasa je."
033,EMP033,2024-01-31,Marketing,4,4,4,4,8,""
034,EMP034,2024-01-31,HR,5,5,5,5,10,"Sangat bangga dengan company ni."
035,EMP035,2024-02-01,Finance,4,3,4,3,7,"Training provided was sufficient."
036,EMP036,2024-02-01,Product,3,4,3,2,5,"Gaji should be higher for my skillset."
037,EMP037,2024-02-02,Sales,4,4,5,4,9,"Happy with the team."
038,EMP038,2024-02-02,Marketing,5,5,4,4,9,"WFH policy saves me so much time."
039,EMP039,2024-02-03,Customer Support,3,3,4,3,6,"Market kat JB slow sikit quarter ni."
040,EMP040,2024-02-03,Finance,4,4,2,4,7,"Communication with stakeholders need improvement."
041,EMP041,2024-02-04,IT,5,4,5,5,9,"Learning curve steep but worth it."
042,EMP042,2024-02-04,Sales,2,2,3,2,4,"Rasa macam nak burnout."
043,EMP043,2024-02-05,Marketing,5,5,5,5,10,""
044,EMP044,2024-02-05,HR,4,4,4,4,8,"Project best."
045,EMP045,2024-02-06,Finance,3,3,3,2,5,"Dah lama kerja, rasa tepu."
046,EMP046,2024-02-06,Product,5,5,5,4,10,"Excellent company culture."
047,EMP047,2024-02-07,Sales,4,4,4,4,8,""
048,EMP048,2024-02-07,Customer Support,2,3,2,3,4,"Approval process lambat sangat."
049,EMP049,2024-02-08,HR,4,3,5,3,8,"Team supportive."
050,EMP050,2024-02-08,Finance,5,4,4,5,9,"Sales kick-off was motivating!"
051,EMP001,2024-04-10,IT,4,2,4,4,7,"Q2 targets are crazy high!"
052,EMP002,2024-04-10,Sales,3,4,4,4,6,"Server crash hari tu bikin stress satu department."
053,EMP003,2024-04-11,Marketing,3,3,3,2,5,"Budget marketing kena potong, susah nak perform."
054,EMP004,2024-04-11,HR,1,1,2,1,2,"System down, customer maki hamun kita. I cannot take this."
055,EMP005,2024-04-12,Finance,4,4,5,4,8,"Raya celebration kat office meriah!"
056,EMP006,2024-04-12,Product,4,4,3,4,7,"Delays in development are frustrating."
057,EMP007,2024-04-13,Customer Support,4,3,4,4,8,"Still learning the ropes."
058,EMP008,2024-04-13,Marketing,2,3,2,2,4,"Technical debt is catching up to us. System lembab."
059,EMP009,2024-04-14,HR,4,5,4,3,8,"Audit season is tiring but manageable."
060,EMP010,2024-04-14,Finance,2,1,2,1,3,"Burnout is real. Balik kerja pun boss WhatsApp."
061,EMP011,2024-04-15,IT,4,4,4,4,8,"Recovery plan after the crash was good."
062,EMP012,2024-04-15,Sales,2,2,3,2,4,"Stress gila handle backlog tickets."
063,EMP013,2024-04-16,Marketing,3,2,3,3,6,"Economy is slow, customers not buying."
064,EMP014,2024-04-16,HR,5,4,5,5,9,"Team morale is still high despite issues."
065,EMP015,2024-04-17,Finance,4,5,4,3,8,""
066,EMP016,2024-04-17,Product,4,4,5,5,9,"Still enjoying the job despite the outages."
067,EMP017,2024-04-18,Sales,3,2,3,3,5,"Rasa macam tak appreciated."
068,EMP018,2024-04-18,Customer Support,4,4,5,2,7,"Steady work environment."
069,EMP019,2024-04-19,HR,1,1,2,1,1,"I am looking for a new job. System sucks."
070,EMP020,2024-04-19,Finance,4,3,4,4,8,"Okay lah, bolehlah."
