Response_ID,Employee_ID,Submission_Date,Department,Q1_Job_Satisfaction,Q2_Work_Life_Balance,Q3_Manager_Support,Q4_Growth_Opportunities,Q5_eNPS,Comments
201,EMP046,2024-12-02,Product,5,5,5,5,10,"Year end vibes are great!"
202,EMP010,2024-12-02,Finance,1,1,2,1,2,"Closing account stress gila. Balik pukul 10pm hari-hari."
203,EMP033,2024-12-03,Marketing,4,4,4,4,8,"Planning for 2025 campaigns dah start."
204,EMP005,2024-12-03,Finance,3,3,3,3,6,"Biasa je. Nothing special."
205,EMP022,2024-12-04,Sales,2,2,3,2,4,"Target hujung tahun ni tak masuk akal."
206,EMP011,2024-12-04,IT,5,5,5,5,10,"System maintenance berjalan lancar."
207,EMP040,2024-12-05,Finance,4,4,3,4,7,"Claims reimbursement cepat bulan ni. Bagus."
208,EMP002,2024-12-05,Sales,5,5,5,4,9,"Harap bonus masyuk tahun ni!"
209,EMP019,2024-12-06,HR,2,2,2,2,3,"Aircond rosak lagi, panas nak mati dalam office."
210,EMP007,2024-12-06,Customer Support,4,3,4,4,8,"Handling customer complaints is easier with new script."
211,EMP031,2024-12-07,IT,4,4,4,4,8,"Server room sejuk sangat."
212,EMP014,2024-12-07,HR,5,5,5,5,10,"Love the Christmas decoration!"
213,EMP025,2024-12-08,Finance,4,4,5,4,9,""
214,EMP001,2024-12-08,IT,3,2,3,3,6,"Too many ad-hoc requests before holiday."
215,EMP038,2024-12-09,Marketing,5,5,4,5,9,"Flexible hours sangat membantu parents macam saya."
216,EMP006,2024-12-09,Product,4,4,4,4,8,"Product roadmap clear."
217,EMP042,2024-12-10,Sales,1,1,2,1,1,"I am burning out. Need urgent break."
218,EMP013,2024-12-10,Marketing,3,3,3,3,5,"Ideas selalu kena reject boss."
219,EMP050,2024-12-11,Finance,5,4,4,5,10,"Team spirit is high!"
220,EMP021,2024-12-11,IT,4,5,4,4,8,"Benefits medical card tu memang terbaik."
221,EMP035,2024-12-12,Finance,3,2,3,3,5,"System jam memanjang hujung tahun ni."
222,EMP004,2024-12-12,HR,2,2,3,2,4,"Ramai staff resign, retention issue teruk."
223,EMP016,2024-12-13,Product,5,5,5,5,10,"Best company ever."
224,EMP028,2024-12-13,Customer Support,4,5,4,4,8,"Shift rotation is fair."
225,EMP003,2024-12-14,Marketing,3,3,2,3,5,"Budget cut again? Susah la nak buat kerja."
226,EMP008,2024-12-14,Marketing,4,4,4,4,8,"Okay la, janji gaji masuk on time."
227,EMP045,2024-12-15,Finance,3,3,3,2,6,"Rasa macam takde growth dah kat sini."
228,EMP034,2024-12-15,HR,5,5,5,5,10,"Sangat satisfied."
229,EMP012,2024-12-16,Sales,2,2,3,2,4,"Commission scheme baru ni tak adil."
230,EMP049,2024-12-16,HR,4,3,4,3,7,"Annual dinner preparation busy sikit."
231,EMP036,2024-12-17,Product,2,3,2,2,3,"Gaji below market rate. Tengah cari kerja lain."
232,EMP017,2024-12-17,Sales,3,3,3,3,6,"Client ramai bercuti."
233,EMP030,2024-12-18,Finance,1,1,1,1,0,"Management tak empathy langsung. Toxic."
234,EMP023,2024-12-18,Marketing,5,5,5,5,10,"Seronok kerja dengan team ni."
235,EMP009,2024-12-19,HR,4,4,4,4,8,"Payroll processing smooth this month."
236,EMP032,2024-12-19,Sales,3,3,3,3,5,"Bolehlah tahan."
237,EMP048,2024-12-20,Customer Support,2,2,2,2,4,"User marah-marah, mental koyak."
238,EMP011,2024-12-20,IT,5,4,5,5,9,"New hardware upgrade is super fast."
